step,day,hour,temperature_stress,water_stress,nutrient_stress,light_stress,ph_stress,salinity_stress,integrated_stress,stress_severity,acclimation_level,damage_level,cumulative_stress,daily_stress,step_count,last_update
324,14,11,0.0364,0.0108,0.3791,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2329200.0000,79200.0000,648,2025-10-17T21:51:36.503935
325,14,12,0.0364,0.0108,0.3792,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2336400.0000,86400.0000,650,2025-10-17T21:51:36.523544
326,14,13,0.0364,0.0108,0.3792,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2343600.0000,93600.0000,652,2025-10-17T21:51:36.543328
327,14,14,0.0364,0.0108,0.3792,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2350800.0000,100800.0000,654,2025-10-17T21:51:36.563354
328,14,15,0.0364,0.0108,0.3793,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2358000.0000,108000.0000,656,2025-10-17T21:51:36.583128
329,14,16,0.0364,0.0109,0.3793,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2365200.0000,115200.0000,658,2025-10-17T21:51:36.602552
330,14,17,0.0364,0.0109,0.3793,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2372400.0000,122400.0000,660,2025-10-17T21:51:36.622702
331,14,18,0.0364,0.0109,0.3794,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2379600.0000,129600.0000,662,2025-10-17T21:51:36.643296
332,14,19,0.0364,0.0110,0.3794,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2386800.0000,136800.0000,664,2025-10-17T21:51:36.663375
333,14,20,0.0364,0.0110,0.3794,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2394000.0000,144000.0000,666,2025-10-17T21:51:36.682811
334,14,21,0.0364,0.0111,0.3795,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2401200.0000,151200.0000,668,2025-10-17T21:51:36.702405
335,14,22,0.0364,0.0112,0.3795,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2408400.0000,158400.0000,670,2025-10-17T21:51:36.721972
336,14,23,0.0364,0.0112,0.3795,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2415600.0000,165600.0000,672,2025-10-17T21:51:36.741444
337,15,0,0.1455,0.0078,0.3796,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2422800.0000,0.0000,674,2025-10-17T21:51:36.761849
338,15,1,0.1455,0.0078,0.3796,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2430000.0000,7200.0000,676,2025-10-17T21:51:36.781832
339,15,2,0.1455,0.0078,0.3796,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2437200.0000,14400.0000,678,2025-10-17T21:51:36.801528
340,15,3,0.1455,0.0079,0.3797,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2444400.0000,21600.0000,680,2025-10-17T21:51:36.821035
341,15,4,0.1455,0.0079,0.3797,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2451600.0000,28800.0000,682,2025-10-17T21:51:36.840477
342,15,5,0.1455,0.0079,0.3797,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2458800.0000,36000.0000,684,2025-10-17T21:51:36.861050
343,15,6,0.1455,0.0079,0.3798,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2466000.0000,43200.0000,686,2025-10-17T21:51:36.881419
344,15,7,0.1455,0.0079,0.3798,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2473200.0000,50400.0000,688,2025-10-17T21:51:36.901433
345,15,8,0.1455,0.0080,0.3798,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2480400.0000,57600.0000,690,2025-10-17T21:51:36.921425
346,15,9,0.1455,0.0080,0.3799,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2487600.0000,64800.0000,692,2025-10-17T21:51:36.942236
347,15,10,0.1455,0.0080,0.3799,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2494800.0000,72000.0000,694,2025-10-17T21:51:36.962504
348,15,11,0.1455,0.0080,0.3799,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2502000.0000,79200.0000,696,2025-10-17T21:51:36.982077
349,15,12,0.1455,0.0080,0.3800,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2509200.0000,86400.0000,698,2025-10-17T21:51:37.001558
350,15,13,0.1455,0.0081,0.3800,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2516400.0000,93600.0000,700,2025-10-17T21:51:37.020308
351,15,14,0.1455,0.0081,0.3800,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2523600.0000,100800.0000,702,2025-10-17T21:51:37.039392
352,15,15,0.1455,0.0081,0.3801,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2530800.0000,108000.0000,704,2025-10-17T21:51:37.058427
353,15,16,0.1455,0.0081,0.3801,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2538000.0000,115200.0000,706,2025-10-17T21:51:37.077606
354,15,17,0.1455,0.0081,0.3801,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2545200.0000,122400.0000,708,2025-10-17T21:51:37.097130
355,15,18,0.1455,0.0081,0.3802,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2552400.0000,129600.0000,710,2025-10-17T21:51:37.115993
356,15,19,0.1455,0.0082,0.3802,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2559600.0000,136800.0000,712,2025-10-17T21:51:37.135652
357,15,20,0.1455,0.0082,0.3802,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2566800.0000,144000.0000,714,2025-10-17T21:51:37.155166
358,15,21,0.1455,0.0082,0.3803,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2574000.0000,151200.0000,716,2025-10-17T21:51:37.174302
359,15,22,0.1455,0.0082,0.3803,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2581200.0000,158400.0000,718,2025-10-17T21:51:37.193433
360,15,23,0.1455,0.0082,0.3803,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2588400.0000,165600.0000,720,2025-10-17T21:51:37.212582
361,16,0,0.0000,0.0087,0.3803,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2595600.0000,0.0000,722,2025-10-17T21:51:37.232360
362,16,1,0.0000,0.0087,0.3804,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2602800.0000,7200.0000,724,2025-10-17T21:51:37.251011
363,16,2,0.0000,0.0087,0.3804,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2610000.0000,14400.0000,726,2025-10-17T21:51:37.270489
364,16,3,0.0000,0.0087,0.3804,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2617200.0000,21600.0000,728,2025-10-17T21:51:37.290267
365,16,4,0.0000,0.0088,0.3805,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2624400.0000,28800.0000,730,2025-10-17T21:51:37.309780
366,16,5,0.0000,0.0088,0.3805,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2631600.0000,36000.0000,732,2025-10-17T21:51:37.329476
367,16,6,0.0000,0.0088,0.3805,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2638800.0000,43200.0000,734,2025-10-17T21:51:37.348666
368,16,7,0.0000,0.0088,0.3806,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2646000.0000,50400.0000,736,2025-10-17T21:51:37.368775
369,16,8,0.0000,0.0088,0.3806,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2653200.0000,57600.0000,738,2025-10-17T21:51:37.388694
370,16,9,0.0000,0.0089,0.3806,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2660400.0000,64800.0000,740,2025-10-17T21:51:37.408137
371,16,10,0.0000,0.0089,0.3807,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2667600.0000,72000.0000,742,2025-10-17T21:51:37.428264
372,16,11,0.0000,0.0089,0.3807,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2674800.0000,79200.0000,744,2025-10-17T21:51:37.448382
373,16,12,0.0000,0.0089,0.3807,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2682000.0000,86400.0000,746,2025-10-17T21:51:37.468675
374,16,13,0.0000,0.0089,0.3808,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2689200.0000,93600.0000,748,2025-10-17T21:51:37.489516
375,16,14,0.0000,0.0090,0.3808,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2696400.0000,100800.0000,750,2025-10-17T21:51:37.508841
376,16,15,0.0000,0.0090,0.3808,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2703600.0000,108000.0000,752,2025-10-17T21:51:37.528446
377,16,16,0.0000,0.0090,0.3809,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2710800.0000,115200.0000,754,2025-10-17T21:51:37.548021
378,16,17,0.0000,0.0090,0.3809,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2718000.0000,122400.0000,756,2025-10-17T21:51:37.567462
379,16,18,0.0000,0.0090,0.3809,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2725200.0000,129600.0000,758,2025-10-17T21:51:37.586928
380,16,19,0.0000,0.0090,0.3810,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2732400.0000,136800.0000,760,2025-10-17T21:51:37.606375
381,16,20,0.0000,0.0091,0.3810,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2739600.0000,144000.0000,762,2025-10-17T21:51:37.625685
382,16,21,0.0000,0.0091,0.3810,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2746800.0000,151200.0000,764,2025-10-17T21:51:37.645146
383,16,22,0.0000,0.0091,0.3811,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2754000.0000,158400.0000,766,2025-10-17T21:51:37.664611
384,16,23,0.0000,0.0091,0.3811,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2761200.0000,165600.0000,768,2025-10-17T21:51:37.684095
385,17,0,0.0545,0.0129,0.3811,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2768400.0000,0.0000,770,2025-10-17T21:51:37.703928
386,17,1,0.0545,0.0129,0.3812,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2775600.0000,7200.0000,772,2025-10-17T21:51:37.723252
387,17,2,0.0545,0.0129,0.3812,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2782800.0000,14400.0000,774,2025-10-17T21:51:37.742487
388,17,3,0.0545,0.0129,0.3812,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2790000.0000,21600.0000,776,2025-10-17T21:51:37.761699
389,17,4,0.0545,0.0130,0.3813,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2797200.0000,28800.0000,778,2025-10-17T21:51:37.781007
390,17,5,0.0545,0.0130,0.3813,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2804400.0000,36000.0000,780,2025-10-17T21:51:37.800344
391,17,6,0.0545,0.0131,0.3813,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2811600.0000,43200.0000,782,2025-10-17T21:51:37.819462
392,17,7,0.0545,0.0131,0.3814,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2818800.0000,50400.0000,784,2025-10-17T21:51:37.839651
393,17,8,0.0545,0.0132,0.3814,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2826000.0000,57600.0000,786,2025-10-17T21:51:37.859117
394,17,9,0.0545,0.0132,0.3814,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2833200.0000,64800.0000,788,2025-10-17T21:51:37.878539
395,17,10,0.0545,0.0133,0.3815,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2840400.0000,72000.0000,790,2025-10-17T21:51:37.897813
396,17,11,0.0545,0.0134,0.3815,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2847600.0000,79200.0000,792,2025-10-17T21:51:37.917157
397,17,12,0.0545,0.0134,0.3816,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2854800.0000,86400.0000,794,2025-10-17T21:51:37.936679
398,17,13,0.0545,0.0135,0.3816,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2862000.0000,93600.0000,796,2025-10-17T21:51:37.956174
399,17,14,0.0545,0.0135,0.3816,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2869200.0000,100800.0000,798,2025-10-17T21:51:37.976515
400,17,15,0.0545,0.0135,0.3817,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2876400.0000,108000.0000,800,2025-10-17T21:51:37.996023
401,17,16,0.0545,0.0136,0.3817,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2883600.0000,115200.0000,802,2025-10-17T21:51:38.016183
402,17,17,0.0545,0.0136,0.3817,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2890800.0000,122400.0000,804,2025-10-17T21:51:38.035785
403,17,18,0.0545,0.0136,0.3818,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2898000.0000,129600.0000,806,2025-10-17T21:51:38.055026
404,17,19,0.0545,0.0137,0.3818,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2905200.0000,136800.0000,808,2025-10-17T21:51:38.074378
405,17,20,0.0545,0.0137,0.3818,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2912400.0000,144000.0000,810,2025-10-17T21:51:38.093955
406,17,21,0.0545,0.0137,0.3819,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2919600.0000,151200.0000,812,2025-10-17T21:51:38.113495
407,17,22,0.0545,0.0138,0.3819,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2926800.0000,158400.0000,814,2025-10-17T21:51:38.132808
408,17,23,0.0545,0.0138,0.3819,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2934000.0000,165600.0000,816,2025-10-17T21:51:38.152111
409,18,0,0.1091,0.0130,0.3820,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2941200.0000,0.0000,818,2025-10-17T21:51:38.172815
410,18,1,0.1091,0.0130,0.3820,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2948400.0000,7200.0000,820,2025-10-17T21:51:38.192324
411,18,2,0.1091,0.0130,0.3820,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2955600.0000,14400.0000,822,2025-10-17T21:51:38.211336
412,18,3,0.1091,0.0131,0.3821,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2962800.0000,21600.0000,824,2025-10-17T21:51:38.230345
413,18,4,0.1091,0.0131,0.3821,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2970000.0000,28800.0000,826,2025-10-17T21:51:38.249132
414,18,5,0.1091,0.0131,0.3821,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2977200.0000,36000.0000,828,2025-10-17T21:51:38.268371
415,18,6,0.1091,0.0132,0.3822,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2984400.0000,43200.0000,830,2025-10-17T21:51:38.288428
416,18,7,0.1091,0.0132,0.3822,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2991600.0000,50400.0000,832,2025-10-17T21:51:38.308024
417,18,8,0.1091,0.0132,0.3822,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,2998800.0000,57600.0000,834,2025-10-17T21:51:38.327734
418,18,9,0.1091,0.0132,0.3823,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3006000.0000,64800.0000,836,2025-10-17T21:51:38.347401
419,18,10,0.1091,0.0133,0.3823,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3013200.0000,72000.0000,838,2025-10-17T21:51:38.366610
420,18,11,0.1091,0.0133,0.3823,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3020400.0000,79200.0000,840,2025-10-17T21:51:38.386024
421,18,12,0.1091,0.0133,0.3823,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3027600.0000,86400.0000,842,2025-10-17T21:51:38.405605
422,18,13,0.1091,0.0133,0.3824,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3034800.0000,93600.0000,844,2025-10-17T21:51:38.425108
423,18,14,0.1091,0.0134,0.3824,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3042000.0000,100800.0000,846,2025-10-17T21:51:38.444820
424,18,15,0.1091,0.0134,0.3824,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3049200.0000,108000.0000,848,2025-10-17T21:51:38.464406
425,18,16,0.1091,0.0134,0.3825,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3056400.0000,115200.0000,850,2025-10-17T21:51:38.483879
426,18,17,0.1091,0.0134,0.3825,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3063600.0000,122400.0000,852,2025-10-17T21:51:38.503811
427,18,18,0.1091,0.0135,0.3825,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3070800.0000,129600.0000,854,2025-10-17T21:51:38.523904
428,18,19,0.1091,0.0135,0.3826,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3078000.0000,136800.0000,856,2025-10-17T21:51:38.544085
429,18,20,0.1091,0.0135,0.3826,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3085200.0000,144000.0000,858,2025-10-17T21:51:38.564755
430,18,21,0.1091,0.0135,0.3826,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3092400.0000,151200.0000,860,2025-10-17T21:51:38.584111
431,18,22,0.1091,0.0136,0.3827,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3099600.0000,158400.0000,862,2025-10-17T21:51:38.603237
432,18,23,0.1091,0.0136,0.3827,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3106800.0000,165600.0000,864,2025-10-17T21:51:38.622874
433,19,0,0.0000,0.0101,0.3827,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3114000.0000,0.0000,866,2025-10-17T21:51:38.643329
434,19,1,0.0000,0.0101,0.3828,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3121200.0000,7200.0000,868,2025-10-17T21:51:38.663038
435,19,2,0.0000,0.0101,0.3828,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3128400.0000,14400.0000,870,2025-10-17T21:51:38.682391
436,19,3,0.0000,0.0101,0.3828,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3135600.0000,21600.0000,872,2025-10-17T21:51:38.702578
437,19,4,0.0000,0.0102,0.3829,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3142800.0000,28800.0000,874,2025-10-17T21:51:38.722671
438,19,5,0.0000,0.0102,0.3829,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3150000.0000,36000.0000,876,2025-10-17T21:51:38.742832
439,19,6,0.0000,0.0102,0.3829,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3157200.0000,43200.0000,878,2025-10-17T21:51:38.762896
440,19,7,0.0000,0.0102,0.3830,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3164400.0000,50400.0000,880,2025-10-17T21:51:38.782582
441,19,8,0.0000,0.0102,0.3830,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3171600.0000,57600.0000,882,2025-10-17T21:51:38.802267
442,19,9,0.0000,0.0103,0.3830,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3178800.0000,64800.0000,884,2025-10-17T21:51:38.821664
443,19,10,0.0000,0.0103,0.3831,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3186000.0000,72000.0000,886,2025-10-17T21:51:38.841023
444,19,11,0.0000,0.0103,0.3831,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3193200.0000,79200.0000,888,2025-10-17T21:51:38.860421
445,19,12,0.0000,0.0104,0.3831,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3200400.0000,86400.0000,890,2025-10-17T21:51:38.880348
446,19,13,0.0000,0.0104,0.3832,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3207600.0000,93600.0000,892,2025-10-17T21:51:38.900104
447,19,14,0.0000,0.0104,0.3832,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3214800.0000,100800.0000,894,2025-10-17T21:51:38.919999
448,19,15,0.0000,0.0105,0.3832,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3222000.0000,108000.0000,896,2025-10-17T21:51:38.940468
449,19,16,0.0000,0.0105,0.3833,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3229200.0000,115200.0000,898,2025-10-17T21:51:38.960370
450,19,17,0.0000,0.0106,0.3833,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3236400.0000,122400.0000,900,2025-10-17T21:51:38.980600
451,19,18,0.0000,0.0106,0.3833,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3243600.0000,129600.0000,902,2025-10-17T21:51:39.000515
452,19,19,0.0000,0.0106,0.3834,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3250800.0000,136800.0000,904,2025-10-17T21:51:39.020426
453,19,20,0.0000,0.0107,0.3834,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3258000.0000,144000.0000,906,2025-10-17T21:51:39.040287
454,19,21,0.0000,0.0107,0.3834,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3265200.0000,151200.0000,908,2025-10-17T21:51:39.060061
455,19,22,0.0000,0.0108,0.3835,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3272400.0000,158400.0000,910,2025-10-17T21:51:39.080028
456,19,23,0.0000,0.0108,0.3835,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3279600.0000,165600.0000,912,2025-10-17T21:51:39.099381
457,20,0,0.0000,0.0120,0.3835,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3286800.0000,0.0000,914,2025-10-17T21:51:39.119545
458,20,1,0.0000,0.0120,0.3836,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3294000.0000,7200.0000,916,2025-10-17T21:51:39.139742
459,20,2,0.0000,0.0121,0.3836,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3301200.0000,14400.0000,918,2025-10-17T21:51:39.160053
460,20,3,0.0000,0.0121,0.3836,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3308400.0000,21600.0000,920,2025-10-17T21:51:39.179966
461,20,4,0.0000,0.0121,0.3837,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3315600.0000,28800.0000,922,2025-10-17T21:51:39.199477
462,20,5,0.0000,0.0121,0.3837,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3322800.0000,36000.0000,924,2025-10-17T21:51:39.218836
463,20,6,0.0000,0.0122,0.3837,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3330000.0000,43200.0000,926,2025-10-17T21:51:39.240460
464,20,7,0.0000,0.0122,0.3838,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3337200.0000,50400.0000,928,2025-10-17T21:51:39.259776
465,20,8,0.0000,0.0122,0.3838,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3344400.0000,57600.0000,930,2025-10-17T21:51:39.279220
466,20,9,0.0000,0.0122,0.3838,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3351600.0000,64800.0000,932,2025-10-17T21:51:39.299142
467,20,10,0.0000,0.0123,0.3839,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3358800.0000,72000.0000,934,2025-10-17T21:51:39.318482
468,20,11,0.0000,0.0123,0.3839,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3366000.0000,79200.0000,936,2025-10-17T21:51:39.337966
469,20,12,0.0000,0.0123,0.3839,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3373200.0000,86400.0000,938,2025-10-17T21:51:39.357447
470,20,13,0.0000,0.0123,0.3840,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3380400.0000,93600.0000,940,2025-10-17T21:51:39.376800
471,20,14,0.0000,0.0124,0.3840,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3387600.0000,100800.0000,942,2025-10-17T21:51:39.396754
472,20,15,0.0000,0.0124,0.3840,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3394800.0000,108000.0000,944,2025-10-17T21:51:39.416400
473,20,16,0.0000,0.0124,0.3841,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3402000.0000,115200.0000,946,2025-10-17T21:51:39.435724
474,20,17,0.0000,0.0124,0.3841,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3409200.0000,122400.0000,948,2025-10-17T21:51:39.455635
475,20,18,0.0000,0.0124,0.3841,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3416400.0000,129600.0000,950,2025-10-17T21:51:39.475812
476,20,19,0.0000,0.0125,0.3842,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3423600.0000,136800.0000,952,2025-10-17T21:51:39.495836
477,20,20,0.0000,0.0125,0.3842,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3430800.0000,144000.0000,954,2025-10-17T21:51:39.515500
478,20,21,0.0000,0.0125,0.3842,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3438000.0000,151200.0000,956,2025-10-17T21:51:39.535432
479,20,22,0.0000,0.0125,0.3843,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3445200.0000,158400.0000,958,2025-10-17T21:51:39.555410
480,20,23,0.0000,0.0126,0.3843,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3452400.0000,165600.0000,960,2025-10-17T21:51:39.574438
481,21,0,0.0000,0.0104,0.3843,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3459600.0000,0.0000,962,2025-10-17T21:51:39.594602
482,21,1,0.0000,0.0105,0.3844,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3466800.0000,7200.0000,964,2025-10-17T21:51:39.614111
483,21,2,0.0000,0.0105,0.3844,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3474000.0000,14400.0000,966,2025-10-17T21:51:39.633437
484,21,3,0.0000,0.0105,0.3844,0.0000,0.0000,0.0000,1.0000,MILD,0.0000,0.0000,3481200.0000,21600.0000,968,2025-10-17T21:51:39.652716
